seat_id,x,y,z
left_seats.205,20.8619,-5.7046,14.708
right_seats.205,20.8619,81.4061,14.708
left_seats.206,20.8619,-6.4896,15.1184
right_seats.206,20.8619,82.191,15.1184
left_seats.207,20.8619,-7.2745,15.5287
right_seats.207,20.8619,82.9759,15.5287
left_seats.208,20.8619,-8.0594,15.9391
right_seats.208,20.8619,83.7609,15.9391
left_seats.209,20.8619,-8.8444,16.3494
right_seats.209,20.8619,84.5458,16.3494
left_seats.210,20.8619,-9.6293,16.7598
right_seats.210,20.8619,85.3307,16.7598
left_seats.211,21.334,-2.5649,13.0666
right_seats.211,21.334,78.2663,13.0666
left_seats.212,21.334,-3.3498,13.477
right_seats.212,21.334,79.0513,13.477
left_seats.213,21.334,-4.1348,13.8873
right_seats.213,21.334,79.8362,13.8873
left_seats.214,21.334,-4.9197,14.2977
right_seats.214,21.334,80.6211,14.2977
left_seats.215,21.334,-5.7046,14.708
right_seats.215,21.334,81.4061,14.708
left_seats.216,21.334,-6.4896,15.1184
right_seats.216,21.334,82.191,15.1184
left_seats.217,21.334,-7.2745,15.5287
right_seats.217,21.334,82.9759,15.5287
left_seats.218,21.334,-8.0594,15.9391
right_seats.218,21.334,83.7609,15.9391
left_seats.219,21.334,-8.8444,16.3494
right_seats.219,21.334,84.5458,16.3494
left_seats.220,21.334,-9.6293,16.7598
right_seats.220,21.334,85.3307,16.7598
left_seats.221,21.8061,-2.5649,13.0666
right_seats.221,21.806,78.2663,13.0666
left_seats.222,21.8061,-3.3498,13.477
right_seats.222,21.806,79.0513,13.477
left_seats.223,21.8061,-4.1348,13.8873
right_seats.223,21.806,79.8362,13.8873
left_seats.224,21.8061,-4.9197,14.2977
right_seats.224,21.806,80.6211,14.2977
left_seats.225,21.8061,-5.7046,14.708
right_seats.225,21.806,81.4061,14.708
left_seats.226,21.8061,-6.4896,15.1184
right_seats.226,21.806,82.191,15.1184
left_seats.227,21.8061,-7.2745,15.5287
right_seats.227,21.806,82.9759,15.5287
left_seats.228,21.8061,-8.0594,15.9391
right_seats.228,21.806,83.7609,15.9391
left_seats.229,21.8061,-8.8444,16.3494
right_seats.229,21.806,84.5458,16.3494
left_seats.230,21.8061,-9.6293,16.7598
right_seats.230,21.806,85.3307,16.7598
left_seats.231,22.2782,-2.5649,13.0666
right_seats.231,22.2781,78.2663,13.0666
left_seats.232,22.2782,-3.3498,13.477
right_seats.232,22.2781,79.0513,13.477
left_seats.233,22.2782,-4.1348,13.8873
right_seats.233,22.2781,79.8362,13.8873
left_seats.234,22.2782,-4.9197,14.2977
right_seats.234,22.2781,80.6211,14.2977
left_seats.235,22.2782,-5.7046,14.708
right_seats.235,22.2781,81.4061,14.708
left_seats.236,22.2782,-6.4896,15.1184
right_seats.236,22.2781,82.191,15.1184
left_seats.237,22.2782,-7.2745,15.5287
right_seats.237,22.2781,82.9759,15.5287
left_seats.238,22.2782,-8.0594,15.9391
right_seats.238,22.2781,83.7609,15.9391
left_seats.239,22.2782,-8.8444,16.3494
right_seats.239,22.2781,84.5458,16.3494
left_seats.240,22.2782,-9.6293,16.7598
right_seats.240,22.2781,85.3307,16.7598
left_seats.241,22.7503,-2.5649,13.0666
right_seats.241,22.7502,78.2663,13.0666
left_seats.242,22.7503,-3.3498,13.477
right_seats.242,22.7502,79.0513,13.477
left_seats.243,22.7503,-4.1348,13.8873
right_seats.243,22.7502,79.8362,13.8873
left_seats.244,22.7503,-4.9197,14.2977
right_seats.244,22.7502,80.6211,14.2977
left_seats.245,22.7503,-5.7046,14.708
right_seats.245,22.7502,81.4061,14.708
left_seats.246,22.7503,-6.4896,15.1184
right_seats.246,22.7502,82.191,15.1184
left_seats.247,22.7503,-7.2745,15.5287
right_seats.247,22.7502,82.9759,15.5287
left_seats.248,22.7503,-8.0594,15.9391
right_seats.248,22.7502,83.7609,15.9391
left_seats.249,22.7503,-8.8444,16.3494
right_seats.249,22.7502,84.5458,16.3494
left_seats.250,22.7503,-9.6293,16.7598
right_seats.250,22.7502,85.3307,16.7598
left_seats.251,23.2223,-2.5649,13.0666
right_seats.251,23.2223,78.2663,13.0666
left_seats.252,23.2223,-3.3498,13.477
right_seats.252,23.2223,79.0513,13.477
left_seats.253,23.2223,-4.1348,13.8873
right_seats.253,23.2223,79.8362,13.8873
left_seats.254,23.2223,-4.9197,14.2977
right_seats.254,23.2223,80.6211,14.2977
left_seats.255,23.2223,-5.7046,14.708
right_seats.255,23.2223,81.4061,14.708
left_seats.256,23.2223,-6.4896,15.1184
right_seats.256,23.2223,82.191,15.1184
left_seats.257,23.2223,-7.2745,15.5287
right_seats.257,23.2223,82.9759,15.5287
left_seats.258,23.2223,-8.0594,15.9391
right_seats.258,23.2223,83.7609,15.9391
left_seats.259,23.2223,-8.8444,16.3494
right_seats.259,23.2223,84.5458,16.3494
left_seats.260,23.2223,-9.6293,16.7598
right_seats.260,23.2223,85.3307,16.7598
left_seats.261,23.6944,-2.5649,13.0666
right_seats.261,23.6944,78.2663,13.0666
left_seats.262,23.6944,-3.3498,13.477
right_seats.262,23.6944,79.0513,13.477
left_seats.263,23.6944,-4.1348,13.8873
right_seats.263,23.6944,79.8362,13.8873
left_seats.264,23.6944,-4.9197,14.2977
right_seats.264,23.6944,80.6211,14.2977
left_seats.265,23.6944,-5.7046,14.708
right_seats.265,23.6944,81.4061,14.708
left_seats.266,23.6944,-6.4896,15.1184
right_seats.266,23.6944,82.191,15.1184
left_seats.267,23.6944,-7.2745,15.5287
right_seats.267,23.6944,82.9759,15.5287
left_seats.268,23.6944,-8.0594,15.9391
right_seats.268,23.6944,83.7609,15.9391
left_seats.269,23.6944,-8.8444,16.3494
right_seats.269,23.6944,84.5458,16.3494
left_seats.270,23.6944,-9.6293,16.7598
right_seats.270,23.6944,85.3307,16.7598
left_seats.271,24.1665,-2.5649,13.0666
right_seats.271,24.1665,78.2663,13.0666
left_seats.272,24.1665,-3.3498,13.477
right_seats.272,24.1665,79.0513,13.477
left_seats.273,24.1665,-4.1348,13.8873
right_seats.273,24.1665,79.8362,13.8873
left_seats.274,24.1665,-4.9197,14.2977
right_seats.274,24.1665,80.6211,14.2977
left_seats.275,24.1665,-5.7046,14.708
right_seats.275,24.1665,81.4061,14.708
left_seats.276,24.1665,-6.4896,15.1184
right_seats.276,24.1665,82.191,15.1184
left_seats.277,24.1665,-7.2745,15.5287
right_seats.277,24.1665,82.9759,15.5287
left_seats.278,24.1665,-8.0594,15.9391
right_seats.278,24.1665,83.7609,15.9391
left_seats.279,24.1665,-8.8444,16.3494
right_seats.279,24.1665,84.5458,16.3494
left_seats.280,24.1665,-9.6293,16.7598
right_seats.280,24.1665,85.3307,16.7598
left_seats.281,24.6386,-2.5649,13.0666
right_seats.281,24.6386,78.2663,13.0666
left_seats.282,24.6386,-3.3498,13.477
right_seats.282,24.6386,79.0513,13.477
left_seats.283,24.6386,-4.1348,13.8873
right_seats.283,24.6386,79.8362,13.8873
left_seats.284,24.6386,-4.9197,14.2977
right_seats.284,24.6386,80.6211,14.2977
left_seats.285,24.6386,-5.7046,14.708
right_seats.285,24.6386,81.4061,14.708
left_seats.286,24.6386,-6.4896,15.1184
right_seats.286,24.6386,82.191,15.1184
left_seats.287,24.6386,-7.2745,15.5287
right_seats.287,24.6386,82.9759,15.5287
left_seats.288,24.6386,-8.0594,15.9391
right_seats.288,24.6386,83.7609,15.9391
left_seats.289,24.6386,-8.8444,16.3494
right_seats.289,24.6386,84.5458,16.3494
left_seats.290,24.6386,-9.6293,16.7598
right_seats.290,24.6386,85.3307,16.7598
left_seats.291,25.1107,-2.5649,13.0666
right_seats.291,25.1107,78.2663,13.0666
left_seats.292,25.1107,-3.3498,13.477
right_seats.292,25.1107,79.0513,13.477
left_seats.293,25.1107,-4.1348,13.8873
right_seats.293,25.1107,79.8362,13.8873
left_seats.294,25.1107,-4.9197,14.2977
right_seats.294,25.1107,80.6211,14.2977
left_seats.295,25.1107,-5.7046,14.708
